10 10 11 False False
TypOrganizmu.LIS 4 3 3 0 False
TypOrganizmu.WILK 0 8 12 0 False
TypOrganizmu.CYBER_OWCA 7 4 11 0 False
TypOrganizmu.CYBER_OWCA 6 7 14 0 False
TypOrganizmu.CYBER_OWCA 5 9 20 0 False
TypOrganizmu.CYBER_OWCA 7 2 14 0 False
TypOrganizmu.CYBER_OWCA 2 1 11 0 False
TypOrganizmu.CYBER_OWCA 8 5 11 0 False
TypOrganizmu.CYBER_OWCA 5 8 23 0 False
TypOrganizmu.CYBER_OWCA 6 3 14 0 False
TypOrganizmu.CYBER_OWCA 6 6 17 0 False
TypOrganizmu.CYBER_OWCA 4 9 20 0 False
TypOrganizmu.ZOLW 4 7 2 0 False
TypOrganizmu.ZOLW 3 4 2 0 False
TypOrganizmu.ZOLW 8 9 2 0 False
TypOrganizmu.GUARANA 6 9 0 10 False
TypOrganizmu.GUARANA 4 6 0 10 False
TypOrganizmu.GUARANA 2 7 0 10 False
TypOrganizmu.GUARANA 6 8 0 9 False
TypOrganizmu.GUARANA 3 6 0 9 False
TypOrganizmu.GUARANA 5 6 0 9 False
TypOrganizmu.GUARANA 0 9 0 8 False
TypOrganizmu.GUARANA 3 7 0 8 False
TypOrganizmu.GUARANA 1 9 0 7 False
TypOrganizmu.GUARANA 5 7 0 7 False
TypOrganizmu.GUARANA 3 8 0 7 False
TypOrganizmu.WILCZE_JAGODY 6 1 99 7 False
TypOrganizmu.GUARANA 2 9 0 6 False
TypOrganizmu.GUARANA 3 9 0 5 False
TypOrganizmu.WILCZE_JAGODY 2 8 99 0 False
TypOrganizmu.MLECZ 2 0 0 0 False
TypOrganizmu.WILCZE_JAGODY 5 1 99 0 False
TypOrganizmu.WILCZE_JAGODY 3 0 99 0 False
TypOrganizmu.GUARANA 7 9 0 11 False
TypOrganizmu.GUARANA 4 5 0 11 False
TypOrganizmu.GUARANA 1 7 0 11 False
TypOrganizmu.GUARANA 7 8 0 11 False
TypOrganizmu.GUARANA 3 5 0 11 False
TypOrganizmu.GUARANA 5 5 0 11 False
TypOrganizmu.GUARANA 1 8 0 11 False
TypOrganizmu.GUARANA 4 8 0 11 False
