12 13 27 True False
TypOrganizmu.LIS 11 3 6 26 False
TypOrganizmu.LIS 10 3 15 0 False
TypOrganizmu.LIS 11 4 57 0 False
TypOrganizmu.CZLOWIEK 1 10 8 0 False 0 0 False True
TypOrganizmu.OWCA 8 11 76 0 False
TypOrganizmu.ANTYLOPA 3 2 43 0 False
TypOrganizmu.CYBER_OWCA 7 9 71 0 False
TypOrganizmu.ZOLW 4 7 2 0 False
TypOrganizmu.ZOLW 6 9 14 0 False
TypOrganizmu.GUARANA 8 8 0 26 False
TypOrganizmu.TRAWA 1 8 0 26 False
TypOrganizmu.GUARANA 7 12 0 26 False
TypOrganizmu.GUARANA 5 9 0 26 False
TypOrganizmu.GUARANA 9 3 0 25 False
TypOrganizmu.GUARANA 8 7 0 25 False
TypOrganizmu.GUARANA 9 11 0 25 False
TypOrganizmu.TRAWA 1 7 0 25 False
TypOrganizmu.GUARANA 6 12 0 25 False
TypOrganizmu.TRAWA 3 1 0 25 False
TypOrganizmu.GUARANA 5 10 0 25 False
TypOrganizmu.GUARANA 8 3 0 24 False
TypOrganizmu.GUARANA 9 7 0 24 False
TypOrganizmu.GUARANA 9 12 0 24 False
TypOrganizmu.TRAWA 1 6 0 24 False
TypOrganizmu.GUARANA 5 12 0 24 False
TypOrganizmu.GUARANA 8 4 0 23 False
TypOrganizmu.GUARANA 10 7 0 23 False
TypOrganizmu.TRAWA 3 0 0 23 False
TypOrganizmu.GUARANA 10 2 0 23 False
TypOrganizmu.TRAWA 1 5 0 23 False
TypOrganizmu.TRAWA 6 11 0 22 False
TypOrganizmu.GUARANA 7 4 0 22 False
TypOrganizmu.GUARANA 11 7 0 22 False
TypOrganizmu.TRAWA 2 0 0 22 False
TypOrganizmu.GUARANA 5 11 0 22 False
TypOrganizmu.TRAWA 6 10 0 21 False
TypOrganizmu.GUARANA 7 3 0 21 False
TypOrganizmu.GUARANA 11 8 0 21 False
TypOrganizmu.GUARANA 6 3 0 20 False
TypOrganizmu.GUARANA 11 9 0 20 False
TypOrganizmu.TRAWA 2 1 0 20 False
TypOrganizmu.GUARANA 7 11 0 19 False
TypOrganizmu.GUARANA 5 3 0 19 False
TypOrganizmu.GUARANA 10 9 0 19 False
TypOrganizmu.TRAWA 2 7 0 19 False
TypOrganizmu.TRAWA 1 1 0 19 False
TypOrganizmu.TRAWA 5 8 0 18 False
TypOrganizmu.GUARANA 5 2 0 18 False
TypOrganizmu.TRAWA 5 7 0 17 False
TypOrganizmu.TRAWA 2 10 0 17 False
TypOrganizmu.GUARANA 8 10 0 17 False
TypOrganizmu.GUARANA 11 10 0 17 False
TypOrganizmu.GUARANA 4 2 0 17 False
TypOrganizmu.TRAWA 3 10 0 16 False
TypOrganizmu.GUARANA 7 10 0 16 False
TypOrganizmu.GUARANA 10 10 0 16 False
TypOrganizmu.GUARANA 2 2 0 16 False
TypOrganizmu.TRAWA 4 6 0 15 False
TypOrganizmu.TRAWA 4 10 0 15 False
TypOrganizmu.GUARANA 9 2 0 15 False
TypOrganizmu.TRAWA 4 5 0 14 False
TypOrganizmu.TRAWA 4 9 0 14 False
TypOrganizmu.GUARANA 8 2 0 14 False
TypOrganizmu.GUARANA 9 9 0 14 False
TypOrganizmu.TRAWA 5 5 0 13 False
TypOrganizmu.TRAWA 4 8 0 13 False
TypOrganizmu.GUARANA 8 1 0 13 False
TypOrganizmu.TRAWA 6 2 0 13 False
TypOrganizmu.TRAWA 5 6 0 12 False
TypOrganizmu.GUARANA 8 0 0 12 False
TypOrganizmu.GUARANA 9 8 0 11 False
TypOrganizmu.TRAWA 6 7 0 10 False
TypOrganizmu.TRAWA 4 3 0 10 False
TypOrganizmu.GUARANA 9 1 0 10 False
TypOrganizmu.GUARANA 7 8 0 9 False
TypOrganizmu.TRAWA 6 6 0 9 False
TypOrganizmu.TRAWA 4 4 0 9 False
TypOrganizmu.TRAWA 5 4 0 8 False
TypOrganizmu.GUARANA 7 7 0 8 False
TypOrganizmu.TRAWA 3 12 0 7 False
TypOrganizmu.GUARANA 8 6 0 7 False
TypOrganizmu.TRAWA 2 12 0 7 False
TypOrganizmu.TRAWA 2 5 0 7 False
TypOrganizmu.GUARANA 11 0 0 7 False
TypOrganizmu.TRAWA 6 4 0 7 False
TypOrganizmu.GUARANA 10 1 0 7 False
TypOrganizmu.TRAWA 3 11 0 6 False
TypOrganizmu.TRAWA 3 6 0 6 False
TypOrganizmu.GUARANA 8 5 0 6 False
TypOrganizmu.TRAWA 1 12 0 6 False
TypOrganizmu.TRAWA 2 3 0 6 False
TypOrganizmu.GUARANA 10 12 0 6 False
TypOrganizmu.GUARANA 11 12 0 6 False
TypOrganizmu.TRAWA 4 0 0 6 False
TypOrganizmu.TRAWA 2 11 0 6 False
TypOrganizmu.GUARANA 7 6 0 6 False
TypOrganizmu.GUARANA 4 11 0 6 False
TypOrganizmu.TRAWA 2 6 0 6 False
TypOrganizmu.TRAWA 3 3 0 6 False
TypOrganizmu.TRAWA 7 5 0 6 False
TypOrganizmu.TRAWA 3 5 0 6 False
TypOrganizmu.TRAWA 1 11 0 6 False
TypOrganizmu.TRAWA 4 1 0 6 False
TypOrganizmu.GUARANA 11 1 0 6 False
TypOrganizmu.GUARANA 9 5 0 5 False
TypOrganizmu.TRAWA 0 12 0 5 False
TypOrganizmu.TRAWA 2 4 0 5 False
